DATE,KYOTOT
1948-01-01,2680.3
1948-04-01,2793.7
1948-07-01,2912.6
1948-10-01,2890.7
1949-01-01,2711.0
1949-04-01,2705.1
1949-07-01,2656.4
1949-10-01,2645.5
1950-01-01,2888.2
1950-04-01,2869.6
1950-07-01,2943.7
1950-10-01,3024.4
1951-01-01,3242.1
1951-04-01,3442.1
1951-07-01,3498.4
1951-10-01,3599.2
1952-01-01,3554.5
1952-04-01,3607.9
1952-07-01,3736.1
1952-10-01,3766.6
1953-01-01,3860.3
1953-04-01,3854.6
1953-07-01,3863.5
1953-10-01,3832.2
1954-01-01,3811.0
1954-04-01,3775.6
1954-07-01,3781.4
1954-10-01,3845.8
1955-01-01,3917.6
1955-04-01,3940.3
1955-07-01,3992.9
1955-10-01,4073.0
1956-01-01,4042.9
1956-04-01,4187.9
1956-07-01,4256.5
1956-10-01,4340.2
1957-01-01,4371.3
1957-04-01,4414.4
1957-07-01,4447.7
1957-10-01,4430.9
1958-01-01,4529.0
1958-04-01,4576.8
1958-07-01,4648.9
1958-10-01,4738.1
1959-01-01,4757.4
1959-04-01,4875.6
1959-07-01,4888.7
1959-10-01,4928.7
1960-01-01,4894.0
1960-04-01,5029.6
1960-07-01,5085.0
1960-10-01,5079.5
1961-01-01,5194.4
1961-04-01,5250.3
1961-07-01,5395.8
1961-10-01,5543.5
1962-01-01,5580.6
1962-04-01,5668.8
1962-07-01,5688.1
1962-10-01,5773.8
1963-01-01,5867.4
1963-04-01,5946.5
1963-07-01,5997.4
1963-10-01,6060.3
1964-01-01,6189.4
1964-04-01,6166.7
1964-07-01,6219.6
1964-10-01,6326.1
1965-01-01,6506.1
1965-04-01,6661.7
1965-07-01,6856.8
1965-10-01,6973.8
1966-01-01,7164.1
1966-04-01,7255.0
1966-07-01,7443.1
1966-10-01,7655.4
1967-01-01,7871.2
1967-04-01,7868.9
1967-07-01,8045.4
1967-10-01,8164.8
1968-01-01,8391.6
1968-04-01,8667.6
1968-07-01,8837.8
1968-10-01,9028.7
1969-01-01,9434.3
1969-04-01,9659.5
1969-07-01,9836.5
1969-10-01,9916.6
1970-01-01,10142.1
1970-04-01,10405.6
1970-07-01,10709.7
1970-10-01,10881.9
1971-01-01,11117.8
1971-04-01,11419.2
1971-07-01,11563.2
1971-10-01,11764.1
1972-01-01,12182.2
1972-04-01,12372.4
1972-07-01,12726.7
1972-10-01,13437.7
1973-01-01,13685.0
1973-04-01,13955.6
1973-07-01,14413.6
1973-10-01,14956.0
1974-01-01,15282.6
1974-04-01,15816.0
1974-07-01,16384.4
1974-10-01,16725.7
1975-01-01,16771.4
1975-04-01,17234.9
1975-07-01,17654.4
1975-10-01,18256.2
1976-01-01,18901.7
1976-04-01,19147.1
1976-07-01,19776.1
1976-10-01,20352.5
1977-01-01,20895.1
1977-04-01,21722.0
1977-07-01,22150.1
1977-10-01,22968.5
1978-01-01,22864.6
1978-04-01,24341.1
1978-07-01,25014.6
1978-10-01,25555.7
1979-01-01,26505.7
1979-04-01,26882.7
1979-07-01,27842.2
1979-10-01,28588.3
1980-01-01,28929.4
1980-04-01,29156.5
1980-07-01,30225.2
1980-10-01,31175.1
1981-01-01,32045.7
1981-04-01,32157.0
1981-07-01,34228.2
1981-10-01,34519.9
1982-01-01,34863.3
1982-04-01,35280.9
1982-07-01,35783.8
1982-10-01,35680.0
1983-01-01,35605.7
1983-04-01,36083.5
1983-07-01,37115.1
1983-10-01,38215.8
1984-01-01,39733.5
1984-04-01,40810.6
1984-07-01,41580.8
1984-10-01,42123.0
1985-01-01,42312.7
1985-04-01,42571.5
1985-07-01,42930.3
1985-10-01,43447.7
1986-01-01,43441.3
1986-04-01,43709.3
1986-07-01,44332.9
1986-10-01,44592.4
1987-01-01,44973.2
1987-04-01,45653.1
1987-07-01,46962.0
1987-10-01,48400.9
1988-01-01,48732.7
1988-04-01,50016.2
1988-07-01,51403.8
1988-10-01,52140.7
1989-01-01,53702.6
1989-04-01,53857.7
1989-07-01,54403.2
1989-10-01,55491.2
1990-01-01,56534.9
1990-04-01,57308.7
1990-07-01,58101.2
1990-10-01,58748.9
1991-01-01,59229.4
1991-04-01,60112.5
1991-07-01,61274.7
1991-10-01,62756.4
1992-01-01,64167.6
1992-04-01,65276.7
1992-07-01,65989.9
1992-10-01,66754.8
1993-01-01,67176.2
1993-04-01,67773.0
1993-07-01,68211.2
1993-10-01,69352.2
1994-01-01,70031.4
1994-04-01,71318.3
1994-07-01,71909.4
1994-10-01,73174.1
1995-01-01,73861.8
1995-04-01,74698.0
1995-07-01,75351.2
1995-10-01,76306.6
1996-01-01,77534.5
1996-04-01,79452.6
1996-07-01,80289.7
1996-10-01,81205.3
1997-01-01,83247.6
1997-04-01,83852.4
1997-07-01,84772.4
1997-10-01,86296.1
1998-01-01,87713.4
1998-04-01,89033.6
1998-07-01,89971.0
1998-10-01,91091.6
1999-01-01,91638.3
1999-04-01,92410.9
1999-07-01,93533.4
1999-10-01,95678.9
2000-01-01,98357.6
2000-04-01,99977.5
2000-07-01,101681.4
2000-10-01,102749.1
2001-01-01,103458.4
2001-04-01,104254.9
2001-07-01,104276.6
2001-10-01,104517.7
2002-01-01,104857.8
2002-04-01,106350.0
2002-07-01,107016.1
2002-10-01,108049.7
2003-01-01,108163.7
2003-04-01,109025.9
2003-07-01,110411.8
2003-10-01,111905.2
2004-01-01,113723.5
2004-04-01,115363.0
2004-07-01,117143.3
2004-10-01,119583.7
2005-01-01,119644.1
2005-04-01,121703.6
2005-07-01,123300.4
2005-10-01,124574.6
2006-01-01,127586.7
2006-04-01,129078.9
2006-07-01,129885.5
2006-10-01,130894.1
2007-01-01,133023.0
2007-04-01,134779.3
2007-07-01,135335.6
2007-10-01,137089.3
2008-01-01,139138.7
2008-04-01,145048.9
2008-07-01,141432.8
2008-10-01,140669.9
2009-01-01,138312.7
2009-04-01,139893.0
2009-07-01,139686.7
2009-10-01,141554.4
2010-01-01,142273.7
2010-04-01,144895.3
2010-07-01,146675.0
2010-10-01,147360.8
2011-01-01,149905.4
2011-04-01,151186.1
2011-07-01,153005.9
2011-10-01,154777.6
2012-01-01,156182.9
2012-04-01,157636.8
2012-07-01,156937.5
2012-10-01,159785.6
2013-01-01,158768.9
2013-04-01,158918.4
2013-07-01,159450.8
2013-10-01,159761.0
2014-01-01,163272.5
2014-04-01,165988.5
2014-07-01,167673.8
2014-10-01,169933.5
2015-01-01,171931.3
2015-04-01,173926.2
2015-07-01,175000.7
2015-10-01,176466.6
2016-01-01,175131.5
2016-04-01,176348.0
2016-07-01,178443.1
2016-10-01,178839.9
2017-01-01,180634.9
2017-04-01,181571.4
2017-07-01,182872.4
2017-10-01,184825.2
2018-01-01,185819.1
2018-04-01,187949.8
2018-07-01,188990.0
2018-10-01,190689.2
2019-01-01,194026.0
2019-04-01,195253.5
2019-07-01,196822.4
2019-10-01,198900.3
2020-01-01,200790.3
2020-04-01,226911.5
2020-07-01,209931.8
2020-10-01,210156.9
2021-01-01,240753.8
2021-04-01,221053.5
2021-07-01,225302.1
2021-10-01,226951.4
2022-01-01,229108.3
